回,トピック,説明
A1,統計学とは,統計学はデータから知識を引き出す方法を学ぶ学問です。日常生活、経済、科学など、あらゆる分野でデータは溢れていますが、そのデータをどのように扱い、どう判断すればよいのかは明確ではありません。統計学はこの「方法」を提供します。
A1,ガイダンス,この講義は経済学部の2年生向けの『統計学』で、資料やテストはすべてMoodle上で提供されます。評価方法は、Moodle上の小テスト12回分の合計点が70%、中間テストと最終テストが各15%です。統計学は数学と数値計算を多用するため、エクセルや電卓を手元に置いて受講することが推奨されます。また、2022年度から講義タイトルが『統計学』に変更され、再履修者も最新の講義資料を使用する必要があります。
A1,統計学の応用分野,統計学の応用範囲は広く、自然科学（医学、薬学、疫学、生物学など）、社会科学（社会学、経済学、経営学、政治学など）、人文科学（教育学、心理学、人類学、言語学など）、商業（金融、マーケティング、人工知能、自動運転など）にわたります。統計学はデータが存在するところならどこでも応用可能であり、新型コロナの経済効果や新薬の効果分析、マーケティング分析などにも使われます。
A1,人間と統計学,統計学は学問や産業だけでなく、人間の経験や学習、反省、想像、社会観察などの活動にも深く関わっています。人間は生まれた瞬間から統計的な考え方を用いており、日常的にデータを収集・処理し、得た知識を次の意思決定に生かしています。統計学的な思考は、私たちの日常生活にも密接に関係しているのです。
A1,統計学の目的,"統計学の目的は以下の4つです：
1. データを用いて対象の現状を記述すること。
2. データを用いて対象の未知なる背後の特徴を推測すること。
3. データを用いて未知の状況における対象の特徴を予測すること。
4. データを用いて新しく観察された別のデータを分類すること。

これらの目的を達成するために、統計学は記述統計学と推測統計学の2つに分かれます。記述統計学は集団の特徴をデータで整理・要約する方法で、推測統計学は標本データを用いて母集団全体について推測する方法です。"
A1,記述統計学とは,記述統計学は、観測対象の各個体について観測し得られたデータを整理・要約する方法です。これは、集団のデータを理解しやすい形に整理し、視覚的に意味を引き出すことも含まれます。例えば、データの分布を示すヒストグラムやデータの中心・散らばりを理解するための指標などが含まれます。
A1,推測統計学とは,推測統計学は、母集団から選び出した標本データを分析し、母集団について推測する方法です。これは、部分データから全体を推し量るためにデータをどう加工し判断するかを考えるものです。推測統計学の例として、標本から母集団の傾向を知る「推定」や、ある仮説が現実において正しいかを判定する「検定」、将来の値を予測する「予測・分類」があります。
A2,データとは,統計学はデータをどのように分析し、そこからどのようにして知識を引き出すかを考える学問です。統計学Aでは、データを整理し要約する方法を中心に学びます。今回はそもそもデータとは何かを見ていき、近年登場した新しいデータの形やグラフも概観します。
A2,データの定義,データ（data）とは、興味ある対象の性質や現象を数値や言葉で表したものを指します。例えば、数値の例として個数、長さ、重さ、起こった回数、時刻、続いた時間などがあります。一方、言葉の例として名前、性別、地域名、色、「大変良い」などの評価が挙げられます。データは具体的なモノや現象を測ったり数えたりして得られるものであり、数学や物理で登場する定数（円周率など）とは根本的に異なります。必ず何らかの観測・実験・調査を経て得られたものです。
A2,賃貸物件のデータ例,賃貸物件のデータの例を見てみましょう。物件のデータには、物件名、駅近、家賃、間取り、大きさ、方角、築年数、オートロック有無などの情報が含まれます。このようなデータは、賃貸物件を選ぶ際に非常に重要な情報となります。
A2,データの種類,"データはその種類によって、質的データと量的データに大別されます。
1. 質的データ：数値でないデータ（大きさを持たない）
- 例：性別、出身地、強くそう思う/ややそう思う/思わないなど
- 本来数値化ができないものですが、強引に数値へ割り当てることは可能です。
2. 量的データ：数値のデータ（大きさを持つ）
- 例：身長、所得、価格など
- 数値化できるものですが、いつでも四則演算ができるとは限りません。"
A2,データの尺度,"データの性質に基づいて、4つの尺度に分けることができます。
1. 名義尺度：区別のための名前（例：性別、名前、血液型、電話番号、所属学部、国籍）
- 等しいかどうかに意味があります。数値化は可能ですが、それ自体には意味がありません。
2. 順序尺度：大小関係に意味があるもの（例：ランキング、成績の5段階評価、好き嫌い、がんのステージ、震度）
- 差や比に意味がありません。
3. 間隔尺度：大小関係だけでなく、差に意味があるもの（例：気温（℃など）、西暦、偏差値）
- 0が絶対的な意味を持たず、値の比には意味がありません。
4. 比例尺度：大小関係や差だけでなく、比にも意味があるもの（例：身長、体重、大きさ、価格、速度、標高）
- 0に絶対的な意味があり、値が絶対的な意味を持ちます。"
A2,賃貸物件のデータ例と尺度,先ほどの賃貸物件のデータを尺度に基づいて分類すると、駅近やオートロックの有無などの情報は質的データ、家賃や大きさ、築年数は量的データになります。
A2,データの形式,"データには様々な形式があります：
1. 時系列データ：時点方向に広がるデータ
2. 横断面データ：主体方向に広がるデータ
3. パネルデータ：横断面×時系列に広がるデータ
4. 時空間データ：横断面×時系列×地域に広がるデータ
5. ビッグデータ：エクセルでは扱えないような大量のデータの総称
これらのデータ形式は、それぞれ異なる分析方法や処理方法が必要となります。"
A2,データの形式,データには様々な形式があります。代表的なものとして、時系列データ、横断面データ、パネルデータ、時空間データ、ビッグデータが挙げられます。
A2,時系列データ,時系列データ：時点方向に広がるデータで、ある主体の複数の時点を通じて得られたデータです。例えば、フェイスブック（現：Meta）の株価の変動を示すデータがこれに該当します。日付ごとに記録された株価のデータが時系列データの例です。
A2,横断面データ,横断面データ：ある一時点の複数の主体について得られたデータです。例えば、2020年春学期の統計学履修者の試験成績がこれに該当します。名前と成績が記録されているデータが横断面データの例です。
A2,パネルデータ,パネルデータ：複数の主体それぞれに複数の時点を通じて得られたデータです。同じ主体を追跡していることがポイントです。例えば、牛丼チェーンの年度別の利益データがこれに該当します。各年度ごとに各社の利益が記録されたデータがパネルデータの例です。
A2,時空間データ,時空間データ：複数の主体・時点・地点の情報が含まれたデータです。例えば、牛丼チェーンの年度別・都道府県別の利益データがこれに該当します。各年度ごとに各都道府県での利益が記録されたデータが時空間データの例です。
A2,ビッグデータ,ビッグデータ：エクセルでは取り扱えないほどの大量のデータの総称です。例えば、画像、音声、映像、ツイート、渋滞情報、遺伝情報などがこれに該当します。これらのデータは構造化されていないことが多く、エクセルでは処理できないほどの量や形式を持っています。
